model,domain,task_id,difficulty,passed,failed,error
deepseek-coder-v2:16b,strings,count_vowels,Easy,12,4,Some tests failed
deepseek-coder-v2:16b,strings,is_palindrome,Medium,16,1,Some tests failed
deepseek-coder-v2:16b,strings,compress_string,Medium,13,4,Some tests failed
deepseek-coder-v2:16b,strings,longest_substring_without_repeating,Hard,17,1,Some tests failed
deepseek-coder-v2:16b,strings,group_anagrams,Hard,18,2,Some tests failed
deepseek-coder-v2:16b,lists,below_zero,Easy,10,2,Some tests failed
deepseek-coder-v2:16b,lists,find_closest_elements,Medium,12,1,Some tests failed
deepseek-coder-v2:16b,lists,search,Medium,11,4,Some tests failed
deepseek-coder-v2:16b,lists,triples_sum_to_zero,Hard,12,3,Some tests failed
deepseek-coder-v2:16b,lists,min_path,Hard,1,14,Some tests failed
deepseek-coder-v2:16b,logic,fizz_buzz,Easy,8,2,Some tests failed
deepseek-coder-v2:16b,logic,is_valid_sudoku,Medium,3,1,Some tests failed
deepseek-coder-v2:16b,logic,next_permutation,Medium,7,0,
deepseek-coder-v2:16b,logic,solve_n_queens,Hard,6,2,Some tests failed
deepseek-coder-v2:16b,logic,evaluate_expression,Hard,2,6,Some tests failed
deepseek-coder-v2:16b,math,any_int,Easy,9,2,Some tests failed
deepseek-coder-v2:16b,math,modp,Medium,7,2,Some tests failed
deepseek-coder-v2:16b,math,is_simple_power,Medium,10,2,Some tests failed
deepseek-coder-v2:16b,math,prime_fib,Hard,0,12,Some tests failed
deepseek-coder-v2:16b,math,largest_prime_factor,Hard,5,2,Some tests failed
deepseek-coder-v2:16b,dsa,is_valid,Easy,14,2,Some tests failed
deepseek-coder-v2:16b,dsa,num_trees,Medium,11,2,Some tests failed
deepseek-coder-v2:16b,dsa,length_of_lis,Medium,17,3,Some tests failed
deepseek-coder-v2:16b,dsa,find_median_sorted_arrays,Hard,14,4,Some tests failed
deepseek-coder-v2:16b,dsa,max_path_sum,Hard,0,0,Some tests failed
