model,domain,task_id,difficulty,passed,failed,error
codellama:7b-instruct,strings,count_vowels,Easy,0,16,Some tests failed
codellama:7b-instruct,strings,is_palindrome,Medium,0,17,Some tests failed
codellama:7b-instruct,strings,compress_string,Medium,9,8,Some tests failed
codellama:7b-instruct,strings,longest_substring_without_repeating,Hard,8,10,Some tests failed
codellama:7b-instruct,strings,group_anagrams,Hard,10,10,Some tests failed
codellama:7b-instruct,lists,below_zero,Easy,8,4,Some tests failed
codellama:7b-instruct,lists,find_closest_elements,Medium,0,13,Some tests failed
codellama:7b-instruct,lists,search,Medium,3,12,Some tests failed
codellama:7b-instruct,lists,triples_sum_to_zero,Hard,11,4,Some tests failed
codellama:7b-instruct,lists,min_path,Hard,1,14,Some tests failed
codellama:7b-instruct,logic,fizz_buzz,Easy,8,2,Some tests failed
codellama:7b-instruct,logic,is_valid_sudoku,Medium,3,1,Some tests failed
codellama:7b-instruct,logic,next_permutation,Medium,2,5,Some tests failed
codellama:7b-instruct,logic,solve_n_queens,Hard,4,4,Some tests failed
codellama:7b-instruct,logic,evaluate_expression,Hard,1,7,Some tests failed
codellama:7b-instruct,math,any_int,Easy,9,2,Some tests failed
codellama:7b-instruct,math,modp,Medium,1,8,Some tests failed
codellama:7b-instruct,math,is_simple_power,Medium,3,9,Some tests failed
codellama:7b-instruct,math,prime_fib,Hard,1,11,Some tests failed
codellama:7b-instruct,math,largest_prime_factor,Hard,1,6,Some tests failed
codellama:7b-instruct,dsa,is_valid,Easy,12,4,Some tests failed
codellama:7b-instruct,dsa,num_trees,Medium,7,6,Some tests failed
codellama:7b-instruct,dsa,length_of_lis,Medium,5,15,Some tests failed
codellama:7b-instruct,dsa,find_median_sorted_arrays,Hard,13,5,Some tests failed
codellama:7b-instruct,dsa,max_path_sum,Hard,0,0,Some tests failed
