model,domain,task_id,difficulty,passed,failed,error
qwen2.5-coder:7b-instruct,strings,count_vowels,Easy,14,2,Some tests failed
qwen2.5-coder:7b-instruct,strings,is_palindrome,Medium,16,1,Some tests failed
qwen2.5-coder:7b-instruct,strings,compress_string,Medium,13,4,Some tests failed
qwen2.5-coder:7b-instruct,strings,longest_substring_without_repeating,Hard,17,1,Some tests failed
qwen2.5-coder:7b-instruct,strings,group_anagrams,Hard,15,5,Some tests failed
qwen2.5-coder:7b-instruct,lists,below_zero,Easy,10,2,Some tests failed
qwen2.5-coder:7b-instruct,lists,find_closest_elements,Medium,11,2,Some tests failed
qwen2.5-coder:7b-instruct,lists,search,Medium,11,4,Some tests failed
qwen2.5-coder:7b-instruct,lists,triples_sum_to_zero,Hard,13,2,Some tests failed
qwen2.5-coder:7b-instruct,lists,min_path,Hard,6,9,Some tests failed
qwen2.5-coder:7b-instruct,logic,fizz_buzz,Easy,10,0,
qwen2.5-coder:7b-instruct,logic,is_valid_sudoku,Medium,3,1,Some tests failed
qwen2.5-coder:7b-instruct,logic,next_permutation,Medium,7,0,
qwen2.5-coder:7b-instruct,logic,solve_n_queens,Hard,4,4,Some tests failed
qwen2.5-coder:7b-instruct,logic,evaluate_expression,Hard,0,8,Some tests failed
qwen2.5-coder:7b-instruct,math,any_int,Easy,10,1,Some tests failed
qwen2.5-coder:7b-instruct,math,modp,Medium,7,2,Some tests failed
qwen2.5-coder:7b-instruct,math,is_simple_power,Medium,10,2,Some tests failed
qwen2.5-coder:7b-instruct,math,prime_fib,Hard,0,0,Test timeout
qwen2.5-coder:7b-instruct,math,largest_prime_factor,Hard,5,2,Some tests failed
qwen2.5-coder:7b-instruct,dsa,is_valid,Easy,14,2,Some tests failed
qwen2.5-coder:7b-instruct,dsa,num_trees,Medium,11,2,Some tests failed
qwen2.5-coder:7b-instruct,dsa,length_of_lis,Medium,17,3,Some tests failed
qwen2.5-coder:7b-instruct,dsa,find_median_sorted_arrays,Hard,16,2,Some tests failed
qwen2.5-coder:7b-instruct,dsa,max_path_sum,Hard,7,11,Some tests failed
